Host_Name,Host_IPAddress,Host_Alias,MAC_Address
192.168.2.1,192.168.2.1,Sonicwall,00:06:B1:11:C6:44
192.168.2.100,192.168.2.100,Intel Corporate,00:13:20:91:49:81
192.168.2.102,192.168.2.102,3com,00:01:03:88:D2:C2
192.168.2.103,192.168.2.103,Dell,00:11:43:47:51:52
192.168.2.105,192.168.2.105,IBM,00:11:25:13:E4:E9
192.168.2.106,192.168.2.106,IBM,00:11:25:D6:13:A8
192.168.2.109,192.168.2.109,Intel,00:0E:35:0D:21:FF
192.168.2.112,192.168.2.112,IBM,00:11:25:D6:4E:68
192.168.2.113,192.168.2.113,Intel Corporate,00:12:F0:54:92:91
192.168.2.116,192.168.2.116,Intel,00:0E:35:FC:FE:67
192.168.2.118,192.168.2.118,Intel,00:03:47:CA:FF:DE
192.168.2.119,192.168.2.119,Intel,00:0E:35:FC:B7:34
192.168.2.123,192.168.2.123,Sony,08:00:46:C8:FB:09
192.168.2.124,192.168.2.124,Intel Corporate,00:12:F0:90:EF:D3
192.168.2.126,192.168.2.126,Dell,00:11:43:47:5A:B4
192.168.2.128,192.168.2.128,Intel,00:0E:35:11:31:31
192.168.2.131,192.168.2.131,IBM,00:11:25:B1:8B:6B
192.168.2.135,192.168.2.135,Intel,00:11:11:CF:1B:43
192.168.2.136,192.168.2.136,Apple Computer,00:11:24:8C:9A:E4
192.168.2.137,192.168.2.137,Intel,00:04:23:77:CE:1B
192.168.2.138,192.168.2.138,Intel,00:0E:35:0F:46:5F
192.168.2.139,192.168.2.139,USI,00:10:C6:E1:E4:19
192.168.2.141,192.168.2.141,Intel Corporate,00:12:F0:44:C4:1C
192.168.2.142,192.168.2.142,USI,00:10:C6:DE:7F:E2
192.168.2.145,192.168.2.145,Intel Corporate,00:13:20:0C:67:B3
192.168.2.146,192.168.2.146,Sony,08:00:46:E7:EA:A7
192.168.2.147,192.168.2.147,Asustek Computer,00:13:D4:B9:47:64
192.168.2.148,192.168.2.148,Cisco Systems,00:04:9A:99:71:C0
192.168.2.149,192.168.2.149,Intel Corporate,00:12:F0:54:92:7D
192.168.2.150,192.168.2.150,IBM,00:11:25:12:0D:B1
192.168.2.151,192.168.2.151,ANI Communications,00:40:05:35:9C:D9
192.168.2.152,192.168.2.152,Sony,08:00:46:B7:16:61
192.168.2.153,192.168.2.153,Sony,08:00:46:C8:FC:B2
192.168.2.154,192.168.2.154,IBM,00:11:25:15:21:70
192.168.2.157,192.168.2.157,Intel Corporate,00:13:CE:89:D9:34
192.168.2.158,192.168.2.158,Intel Corporate,00:13:20:63:93:C8
192.168.2.159,192.168.2.159,Intel Corporate,00:12:F0:54:A2:6A
192.168.2.160,192.168.2.160,Intel Corporate,00:13:20:15:E7:88
192.168.2.161,192.168.2.161,IBM,00:11:25:B1:8B:68
192.168.2.162,192.168.2.162,Dell,00:11:43:45:38:41
192.168.2.164,192.168.2.164,Intel Corporate,00:12:F0:EA:E2:8E
192.168.2.166,192.168.2.166,Intel Corporate,00:13:CE:66:2A:36
192.168.2.168,192.168.2.168,Shuttle,00:30:1B:B2:41:DA
192.168.2.169,192.168.2.169,IBM,00:0D:60:FF:F4:F1
192.168.2.172,192.168.2.172,Apple Computer,00:11:24:35:58:64
192.168.2.173,192.168.2.173,IBM,00:11:25:D6:13:0B
192.168.2.174,192.168.2.174,IBM,00:11:25:46:F2:FB
192.168.2.175,192.168.2.175,Intel Corporate,00:12:F0:91:B5:1F
192.168.2.176,192.168.2.176,IBM,00:11:25:D6:0E:57
192.168.2.177,192.168.2.177,Apple Computer,00:0D:93:F0:6D:79
192.168.2.180,192.168.2.180,Intel Corporate,00:12:F0:91:7D:04
192.168.2.181,192.168.2.181,IBM,00:0D:60:FF:B5:DF
192.168.2.182,192.168.2.182,Uniwill Computer,00:03:0D:03:59:6A
192.168.2.184,192.168.2.184,Intel Corporate,00:13:CE:21:3E:66
192.168.2.185,192.168.2.185,Intel Corporate,00:12:F0:35:AB:01
192.168.2.196,192.168.2.196,Intel Corporate,00:12:F0:B6:1C:3C
192.168.2.198,192.168.2.198,Intel Corporate,00:13:20:02:83:31
192.168.2.199,192.168.2.199,Askey Computer,00:90:96:74:D9:49
192.168.2.20,192.168.2.20,Hewlett Packard,00:13:21:CD:23:99
switch03,192.168.2.200,Accton Technology,00:10:B5:83:C0:F1
192.168.2.201,192.168.2.201,Cisco Systems,00:04:27:29:43:40
192.168.2.202,192.168.2.202,Cisco Systems,00:06:53:8A:5C:40
192.168.2.203,192.168.2.203,Cisco,00:12:43:F3:28:C0
192.168.2.205,192.168.2.205,Cisco Systems,00:02:4B:62:1A:80
192.168.2.206,192.168.2.206,Cisco Systems,00:09:E8:D0:AF:40
192.168.2.207,192.168.2.207,Cisco Systems,00:12:D9:D6:9F:01
192.168.2.211,192.168.2.211,Apple Computer,00:30:65:26:D9:3F
192.168.2.220,192.168.2.220,Intel Corporate,00:13:20:19:47:FD
192.168.2.230,192.168.2.230,Hewlett Packard,00:14:38:50:E3:C8
192.168.2.231,192.168.2.231,Connect AS,00:00:24:C4:CD:54
192.168.2.235,192.168.2.235,Asustek Computer,00:13:D4:B9:47:66
192.168.2.236,192.168.2.236,Asustek Computer,00:13:D4:B9:47:5F
192.168.2.240,192.168.2.240,Asustek Computer,00:13:D4:1A:51:6A
192.168.2.241,192.168.2.241,VMware,00:0C:29:A3:91:85
192.168.2.244,192.168.2.244,VMware,00:0C:29:1B:2E:C1
192.168.2.245,192.168.2.245,VMware,00:0C:29:34:B8:3C
192.168.2.247,192.168.2.247,VMware,00:0C:29:9C:53:25
